"date","t","areaCode","areaName","areaType","pop","cases","deaths.28","deaths.60","vacc.2nd","vacc.3rd","reinf","lockdown","rain","rain.lag.2","rain.lag.7","rain.lag.10","rain.lag.28","mean.temp","mean.temp.lag.2","mean.temp.lag.7","mean.temp.lag.10","mean.temp.lag.28","min.temp","min.temp.lag.2","min.temp.lag.7","min.temp.lag.10","min.temp.lag.28","max.temp","max.temp.lag.2","max.temp.lag.7","max.temp.lag.10","max.temp.lag.28"
2020-06-27,1,"E12000002","North West","region",7367456,94,8,13,0,0,1,0,12.68,2.47,6.8,3.44,0,16.3,22.6,15.9,16.3,15.7,13.5,15.8,10.5,11.6,8.1,19,29.4,21.2,21,23.3
2020-06-28,2,"E12000002","North West","region",7367456,95,11,22,0,0,0,0,13.35,7.03,2,10.07,0,13.7,21.7,16.1,14.3,16.4,10.4,16.2,12.5,12.7,8.9,16.9,27.2,19.6,15.8,23.8
2020-06-29,3,"E12000002","North West","region",7367456,124,10,14,0,0,1,0,2.75,12.68,1.22,5.42,0,13.5,16.3,14.8,14.8,16.3,10.7,13.5,8.2,12.2,8.2,16.2,19,21.3,17.4,24.3
2020-06-30,4,"E12000002","North West","region",7367456,105,9,15,0,0,1,0,0.84,13.35,0.04,6.8,7.81,14.7,13.7,18.7,15.9,16.2,11.8,10.4,11.9,10.5,8.7,17.6,16.9,25.4,21.2,23.6
2020-07-01,5,"E12000002","North West","region",7367456,113,4,8,0,0,2,0,5.75,2.75,0,2,1.09,16.6,13.5,21.6,16.1,13.1,12.8,10.7,14,12.5,11.5,20.5,16.2,29.2,19.6,14.8
2020-07-02,6,"E12000002","North West","region",7367456,96,5,10,0,0,0,0,3.52,0.84,2.47,1.22,3.59,14.6,14.7,22.6,14.8,11.1,10.2,11.8,15.8,8.2,7.1,18.9,17.6,29.4,21.3,15
2020-07-03,7,"E12000002","North West","region",7367456,96,6,13,0,0,0,0,14.17,5.75,7.03,0.04,10.16,13.9,16.6,21.7,18.7,11.6,10.2,12.8,16.2,11.9,7.9,17.5,20.5,27.2,25.4,15.3
2020-07-04,8,"E12000002","North West","region",7367456,72,4,8,0,0,0,0,3.77,3.52,12.68,0,2.3,15.6,14.6,16.3,21.6,10.5,13,10.2,13.5,14,6,18.3,18.9,19,29.2,15.1
2020-07-05,9,"E12000002","North West","region",7367456,115,4,7,0,0,0,0,4.23,14.17,13.35,2.47,0.63,16.2,13.9,13.7,22.6,12.2,14.2,10.2,10.4,15.8,7.7,18.2,17.5,16.9,29.4,16.6
2020-07-06,10,"E12000002","North West","region",7367456,142,11,14,0,0,0,0,0.62,3.77,2.75,7.03,0.05,14.6,15.6,13.5,21.7,11.8,10.8,13,10.7,16.2,7.4,18.4,18.3,16.2,27.2,16.3
2020-07-07,11,"E12000002","North West","region",7367456,96,5,13,0,0,0,0,7.8,4.23,0.84,12.68,2.19,12.7,16.2,14.7,16.3,12.1,8.9,14.2,11.8,13.5,6.6,16.4,18.2,17.6,19,17.6
2020-07-08,12,"E12000002","North West","region",7367456,118,4,7,0,0,0,0,14.67,0.62,5.75,13.35,7.01,14.9,14.6,16.6,13.7,12.5,11.7,10.8,12.8,10.4,9.9,18.2,18.4,20.5,16.9,15
2020-07-09,13,"E12000002","North West","region",7367456,131,7,18,0,0,2,0,2.05,7.8,3.52,2.75,6.87,15.1,12.7,14.6,13.5,14,13,8.9,10.2,10.7,10,17.2,16.4,18.9,16.2,18.1
2020-07-10,14,"E12000002","North West","region",7367456,87,4,6,0,0,0,0,0.99,14.67,14.17,0.84,2.74,13.5,14.9,13.9,14.7,15.1,9.8,11.7,10.2,11.8,11.3,17.2,18.2,17.5,17.6,18.9
2020-07-11,15,"E12000002","North West","region",7367456,81,5,9,0,0,0,0,0,2.05,3.77,5.75,1.25,13.4,15.1,15.6,16.6,17.5,8.4,13,13,12.8,11.9,18.4,17.2,18.3,20.5,23.1
2020-07-12,16,"E12000002","North West","region",7367456,54,2,4,0,0,0,0,1.32,0.99,4.23,3.52,0.89,14.1,13.5,16.2,14.6,16.4,6.7,9.8,14.2,10.2,10.6,21.5,17.2,18.2,18.9,22.2
2020-07-13,17,"E12000002","North West","region",7367456,105,5,7,0,0,0,0,0.62,0,0.62,14.17,4.21,15.6,13.4,14.6,13.9,17.3,11,8.4,10.8,10.2,11.1,20.2,18.4,18.4,17.5,23.4
2020-07-14,18,"E12000002","North West","region",7367456,110,6,8,0,0,0,0,3.24,1.32,7.8,3.77,4.58,15.1,14.1,12.7,15.6,17.2,12.9,6.7,8.9,13,12,17.3,21.5,16.4,18.3,22.4
2020-07-15,19,"E12000002","North West","region",7367456,146,5,10,0,0,0,0,0.58,0.62,14.67,4.23,3.44,14.1,15.6,14.9,16.2,16.3,11.3,11,11.7,14.2,11.6,16.9,20.2,18.2,18.2,21
2020-07-16,20,"E12000002","North West","region",7367456,149,2,8,0,0,1,0,0.04,3.24,2.05,0.62,10.07,17.4,15.1,15.1,14.6,14.3,13.7,12.9,13,10.8,12.7,21,17.3,17.2,18.4,15.8
2020-07-17,21,"E12000002","North West","region",7367456,108,4,12,0,0,1,0,3.76,0.58,0.99,7.8,5.42,18.8,14.1,13.5,12.7,14.8,14.4,11.3,9.8,8.9,12.2,23.1,16.9,17.2,16.4,17.4
2020-07-18,22,"E12000002","North West","region",7367456,107,3,7,0,0,0,0,3.42,0.04,0,14.67,6.8,16.7,17.4,13.4,14.9,15.9,13.8,13.7,8.4,11.7,10.5,19.6,21,18.4,18.2,21.2
2020-07-19,23,"E12000002","North West","region",7367456,92,2,4,0,0,0,0,0.01,3.76,1.32,2.05,2,14.8,18.8,14.1,15.1,16.1,10.7,14.4,6.7,13,12.5,18.9,23.1,21.5,17.2,19.6
2020-07-20,24,"E12000002","North West","region",7367456,168,2,8,0,0,2,0,0.04,3.42,0.62,0.99,1.22,13,16.7,15.6,13.5,14.8,7.4,13.8,11,9.8,8.2,18.6,19.6,20.2,17.2,21.3
2020-07-21,25,"E12000002","North West","region",7367456,155,3,7,0,0,1,0,0.09,0.01,3.24,0,0.04,13.5,14.8,15.1,13.4,18.7,7,10.7,12.9,8.4,11.9,19.9,18.9,17.3,18.4,25.4
2020-07-22,26,"E12000002","North West","region",7367456,212,6,9,0,0,1,0,5.44,0.04,0.58,1.32,0,16.2,13,14.1,14.1,21.6,10.8,7.4,11.3,6.7,14,21.6,18.6,16.9,21.5,29.2
2020-07-23,27,"E12000002","North West","region",7367456,184,3,5,0,0,1,0,3.14,0.09,0.04,0.62,2.47,16.3,13.5,17.4,15.6,22.6,11.9,7,13.7,11,15.8,20.7,19.9,21,20.2,29.4
2020-07-24,28,"E12000002","North West","region",7367456,159,1,4,0,0,0,0,6.66,5.44,3.76,3.24,7.03,17.7,16.2,18.8,15.1,21.7,13.2,10.8,14.4,12.9,16.2,22.3,21.6,23.1,17.3,27.2
2020-07-25,29,"E12000002","North West","region",7367456,139,3,6,0,0,1,0,2.19,3.14,3.42,0.58,12.68,18.2,16.3,16.7,14.1,16.3,15.5,11.9,13.8,11.3,13.5,21,20.7,19.6,16.9,19
2020-07-26,30,"E12000002","North West","region",7367456,159,3,6,0,0,0,0,10.55,6.66,0.01,0.04,13.35,16,17.7,14.8,17.4,13.7,11.8,13.2,10.7,13.7,10.4,20.2,22.3,18.9,21,16.9
2020-07-27,31,"E12000002","North West","region",7367456,193,2,3,0,0,2,0,6.47,2.19,0.04,3.76,2.75,16.9,18.2,13,18.8,13.5,13.9,15.5,7.4,14.4,10.7,20,21,18.6,23.1,16.2
2020-07-28,32,"E12000002","North West","region",7367456,205,2,4,0,0,4,0,0.34,10.55,0.09,3.42,0.84,14.6,16,13.5,16.7,14.7,11.2,11.8,7,13.8,11.8,18,20.2,19.9,19.6,17.6
2020-07-29,33,"E12000002","North West","region",7367456,290,4,7,0,0,2,0,3.3,6.47,5.44,0.01,5.75,14.7,16.9,16.2,14.8,16.6,9.5,13.9,10.8,10.7,12.8,19.9,20,21.6,18.9,20.5
2020-07-30,34,"E12000002","North West","region",7367456,228,4,6,0,0,4,0,0.32,0.34,3.14,0.04,3.52,19,14.6,16.3,13,14.6,11.7,11.2,11.9,7.4,10.2,26.3,18,20.7,18.6,18.9
2020-07-31,35,"E12000002","North West","region",7367456,187,1,6,0,0,2,0,1,3.3,6.66,0.09,14.17,23.7,14.7,17.7,13.5,13.9,14.3,9.5,13.2,7,10.2,33.2,19.9,22.3,19.9,17.5
2020-08-01,36,"E12000002","North West","region",7367456,159,1,2,0,0,0,0,1.83,0.32,2.19,5.44,3.77,18,19,18.2,16.2,15.6,14,11.7,15.5,10.8,13,22,26.3,21,21.6,18.3
2020-08-02,37,"E12000002","North West","region",7367456,166,2,4,0,0,0,0,1.46,1,10.55,3.14,4.23,15.9,23.7,16,16.3,16.2,10.9,14.3,11.8,11.9,14.2,20.9,33.2,20.2,20.7,18.2
2020-08-03,38,"E12000002","North West","region",7367456,307,10,12,0,0,6,0,1.44,1.83,6.47,6.66,0.62,14.8,18,16.9,17.7,14.6,10,14,13.9,13.2,10.8,19.5,22,20,22.3,18.4
2020-08-04,39,"E12000002","North West","region",7367456,295,2,6,0,0,7,0,7.12,1.46,0.34,2.19,7.8,13.8,15.9,14.6,18.2,12.7,7.6,10.9,11.2,15.5,8.9,20,20.9,18,21,16.4
2020-08-05,40,"E12000002","North West","region",7367456,264,1,2,0,0,1,0,2.74,1.44,3.3,10.55,14.67,18.2,14.8,14.7,16,14.9,13.5,10,9.5,11.8,11.7,22.8,19.5,19.9,20.2,18.2
2020-08-06,41,"E12000002","North West","region",7367456,285,3,6,0,0,3,0,0.28,7.12,0.32,6.47,2.05,20.4,13.8,19,16.9,15.1,16.1,7.6,11.7,13.9,13,24.7,20,26.3,20,17.2
2020-08-07,42,"E12000002","North West","region",7367456,244,3,6,0,0,1,0,0.02,2.74,1,0.34,0.99,21.6,18.2,23.7,14.6,13.5,14.3,13.5,14.3,11.2,9.8,28.9,22.8,33.2,18,17.2
2020-08-08,43,"E12000002","North West","region",7367456,219,6,10,0,0,1,0,0,0.28,1.83,3.3,0,21.6,20.4,18,14.7,13.4,16.2,16.1,14,9.5,8.4,26.9,24.7,22,19.9,18.4
2020-08-09,44,"E12000002","North West","region",7367456,161,4,5,0,0,1,0,0,0.02,1.46,0.32,1.32,20.7,21.6,15.9,19,14.1,14.6,14.3,10.9,11.7,6.7,26.8,28.9,20.9,26.3,21.5
2020-08-10,45,"E12000002","North West","region",7367456,365,2,3,0,0,3,0,13.97,0,1.44,1,0.62,22.2,21.6,14.8,23.7,15.6,15.4,16.2,10,14.3,11,29,26.9,19.5,33.2,20.2
2020-08-11,46,"E12000002","North West","region",7367456,323,3,5,0,0,11,0,1.16,0,7.12,1.83,3.24,24,20.7,13.8,18,15.1,17.4,14.6,7.6,14,12.9,30.7,26.8,20,22,17.3
2020-08-12,47,"E12000002","North West","region",7367456,282,2,4,0,0,5,0,9.41,13.97,2.74,1.46,0.58,25.1,22.2,18.2,15.9,14.1,18.2,15.4,13.5,10.9,11.3,32,29,22.8,20.9,16.9
2020-08-13,48,"E12000002","North West","region",7367456,237,2,3,0,0,0,0,1.2,1.16,0.28,1.44,0.04,19.8,24,20.4,14.8,17.4,17.7,17.4,16.1,10,13.7,21.9,30.7,24.7,19.5,21
2020-08-14,49,"E12000002","North West","region",7367456,236,1,7,0,0,3,0,0,9.41,0.02,7.12,3.76,18.4,25.1,21.6,13.8,18.8,15.4,18.2,14.3,7.6,14.4,21.4,32,28.9,20,23.1
2020-08-15,50,"E12000002","North West","region",7367456,160,7,10,0,0,0,0,2.19,1.2,0,2.74,3.42,17.1,19.8,21.6,18.2,16.7,14.4,17.7,16.2,13.5,13.8,19.7,21.9,26.9,22.8,19.6
2020-08-16,51,"E12000002","North West","region",7367456,118,1,5,0,0,1,0,10.74,0,0,0.28,0.01,18,18.4,20.7,20.4,14.8,14.7,15.4,14.6,16.1,10.7,21.3,21.4,26.8,24.7,18.9
2020-08-17,52,"E12000002","North West","region",7367456,286,3,4,0,0,0,0,10.5,2.19,13.97,0.02,0.04,18.3,17.1,22.2,21.6,13,14.5,14.4,15.4,14.3,7.4,22.1,19.7,29,28.9,18.6
2020-08-18,53,"E12000002","North West","region",7367456,198,2,2,0,0,3,0,1.65,10.74,1.16,0,0.09,18.3,18,24,21.6,13.5,14.4,14.7,17.4,16.2,7,22.3,21.3,30.7,26.9,19.9
2020-08-19,54,"E12000002","North West","region",7367456,265,1,1,0,0,5,0,6.74,10.5,9.41,0,5.44,17.1,18.3,25.1,20.7,16.2,14.1,14.5,18.2,14.6,10.8,20.1,22.1,32,26.8,21.6
2020-08-20,55,"E12000002","North West","region",7367456,230,1,2,0,0,4,0,7.83,1.65,1.2,13.97,3.14,18.1,18.3,19.8,22.2,16.3,13.5,14.4,17.7,15.4,11.9,22.6,22.3,21.9,29,20.7
2020-08-21,56,"E12000002","North West","region",7367456,214,4,5,0,0,3,0,7.5,6.74,0,1.16,6.66,17.9,17.1,18.4,24,17.7,15,14.1,15.4,17.4,13.2,20.8,20.1,21.4,30.7,22.3
2020-08-22,57,"E12000002","North West","region",7367456,178,3,5,0,0,0,0,7.74,7.83,2.19,9.41,2.19,16.7,18.1,17.1,25.1,18.2,13.6,13.5,14.4,18.2,15.5,19.8,22.6,19.7,32,21
2020-08-23,58,"E12000002","North West","region",7367456,122,9,10,0,0,3,0,6.71,7.5,10.74,1.2,10.55,16.2,17.9,18,19.8,16,13.2,15,14.7,17.7,11.8,19.1,20.8,21.3,21.9,20.2
2020-08-24,59,"E12000002","North West","region",7367456,259,4,5,0,0,3,0,19.04,7.74,10.5,0,6.47,15.4,16.7,18.3,18.4,16.9,10.9,13.6,14.5,15.4,13.9,20,19.8,22.1,21.4,20
2020-08-25,60,"E12000002","North West","region",7367456,214,4,6,0,0,1,0,22.69,6.71,1.65,2.19,0.34,17,16.2,18.3,17.1,14.6,14,13.2,14.4,14.4,11.2,20.1,19.1,22.3,19.7,18
2020-08-26,61,"E12000002","North West","region",7367456,291,5,5,0,0,3,0,1.01,19.04,6.74,10.74,3.3,16.9,15.4,17.1,18,14.7,14.2,10.9,14.1,14.7,9.5,19.7,20,20.1,21.3,19.9
2020-08-27,62,"E12000002","North West","region",7367456,295,0,1,0,0,7,0,16.57,22.69,7.83,10.5,0.32,13.4,17,18.1,18.3,19,10.5,14,13.5,14.5,11.7,16.3,20.1,22.6,22.1,26.3
2020-08-28,63,"E12000002","North West","region",7367456,362,3,3,0,0,3,0,1.86,1.01,7.5,1.65,1,13.9,16.9,17.9,18.3,23.7,10.9,14.2,15,14.4,14.3,16.8,19.7,20.8,22.3,33.2
2020-08-29,64,"E12000002","North West","region",7367456,245,0,2,0,0,0,0,0.1,16.57,7.74,6.74,1.83,12.1,13.4,16.7,17.1,18,9.5,10.5,13.6,14.1,14,14.8,16.3,19.8,20.1,22
2020-08-30,65,"E12000002","North West","region",7367456,257,2,2,0,0,2,0,0,1.86,6.71,7.83,1.46,11.6,13.9,16.2,18.1,15.9,7.3,10.9,13.2,13.5,10.9,16,16.8,19.1,22.6,20.9
2020-08-31,66,"E12000002","North West","region",7367456,270,2,4,0,0,1,0,0.01,0.1,19.04,7.5,1.44,12,12.1,15.4,17.9,14.8,7.2,9.5,10.9,15,10,16.8,14.8,20,20.8,19.5
2020-09-01,67,"E12000002","North West","region",7367456,454,1,2,0,0,3,0,0.26,0,22.69,7.74,7.12,12.8,11.6,17,16.7,13.8,6.1,7.3,14,13.6,7.6,19.5,16,20.1,19.8,20
2020-09-02,68,"E12000002","North West","region",7367456,689,1,3,0,0,17,0,17.7,0.01,1.01,6.71,2.74,13.1,12,16.9,16.2,18.2,8,7.2,14.2,13.2,13.5,18.1,16.8,19.7,19.1,22.8
2020-09-03,69,"E12000002","North West","region",7367456,645,2,2,0,0,11,0,0.16,0.26,16.57,19.04,0.28,16.6,12.8,13.4,15.4,20.4,13.8,6.1,10.5,10.9,16.1,19.4,19.5,16.3,20,24.7
2020-09-04,70,"E12000002","North West","region",7367456,652,0,1,0,0,7,0,1.32,17.7,1.86,22.69,0.02,14,13.1,13.9,17,21.6,10.8,8,10.9,14,14.3,17.3,18.1,16.8,20.1,28.9
2020-09-05,71,"E12000002","North West","region",7367456,542,7,9,0,0,0,0,1.85,0.16,0.1,1.01,0,13.4,16.6,12.1,16.9,21.6,9.5,13.8,9.5,14.2,16.2,17.3,19.4,14.8,19.7,26.9
2020-09-06,72,"E12000002","North West","region",7367456,578,4,5,0,0,2,0,2.28,1.32,0,16.57,0,13.5,14,11.6,13.4,20.7,8.8,10.8,7.3,10.5,14.6,18.1,17.3,16,16.3,26.8
2020-09-07,73,"E12000002","North West","region",7367456,983,8,10,0,0,17,0,2.18,1.85,0.01,1.86,13.97,13.6,13.4,12,13.9,22.2,9.4,9.5,7.2,10.9,15.4,17.7,17.3,16.8,16.8,29
2020-09-08,74,"E12000002","North West","region",7367456,873,6,6,0,0,5,0,2.46,2.28,0.26,0.1,1.16,18.5,13.5,12.8,12.1,24,13.9,8.8,6.1,9.5,17.4,23,18.1,19.5,14.8,30.7
2020-09-09,75,"E12000002","North West","region",7367456,853,6,7,0,0,2,0,0.01,2.18,17.7,0,9.41,16.1,13.6,13.1,11.6,25.1,13,9.4,8,7.3,18.2,19.2,17.7,18.1,16,32
2020-09-10,76,"E12000002","North West","region",7367456,923,5,6,0,0,4,0,0.02,2.46,0.16,0.01,1.2,11.3,18.5,16.6,12,19.8,6.1,13.9,13.8,7.2,17.7,16.5,23,19.4,16.8,21.9
