areaCode,areaName,areaType,date,newCasesByPublishDate,newDeaths28DaysByDeathDate,newDeaths60DaysByDeathDate,newPeopleVaccinatedSecondDoseByVaccinationDate,newPeopleVaccinatedThirdInjectionByVaccinationDate
E12000002,North West,region,2022-02-07,4131,,,,
E12000002,North West,region,2022-02-06,4364,3,3,1254,1933
E12000002,North West,region,2022-02-05,5724,0,0,3037,3644
E12000002,North West,region,2022-02-04,6542,7,12,2863,3632
E12000002,North West,region,2022-02-03,6983,32,45,3303,3710
E12000002,North West,region,2022-02-02,7662,17,27,3423,3654
E12000002,North West,region,2022-02-01,10866,39,53,2765,3740
E12000002,North West,region,2022-01-31,137260,28,39,2877,3623
E12000002,North West,region,2022-01-30,5360,34,46,2104,2706
E12000002,North West,region,2022-01-29,6305,44,55,3950,5505
E12000002,North West,region,2022-01-28,7464,36,52,3909,5437
E12000002,North West,region,2022-01-27,8370,46,57,3539,5139
E12000002,North West,region,2022-01-26,9142,34,36,3687,5150
E12000002,North West,region,2022-01-25,8452,31,35,3474,5559
E12000002,North West,region,2022-01-24,7557,48,51,3085,4989
E12000002,North West,region,2022-01-23,7019,34,44,2212,3048
E12000002,North West,region,2022-01-22,8021,45,50,3958,6878
E12000002,North West,region,2022-01-21,9375,52,56,3605,5941
E12000002,North West,region,2022-01-20,10875,35,36,3214,5454
E12000002,North West,region,2022-01-19,11210,38,40,3287,6168
E12000002,North West,region,2022-01-18,10177,51,58,2958,6524
E12000002,North West,region,2022-01-17,9433,40,44,2707,6177
E12000002,North West,region,2022-01-16,7326,43,49,2280,4903
E12000002,North West,region,2022-01-15,9591,50,54,4477,9379
E12000002,North West,region,2022-01-14,11786,51,56,3387,9807
E12000002,North West,region,2022-01-13,12770,41,43,2938,10068
E12000002,North West,region,2022-01-12,19151,42,48,3098,10553
E12000002,North West,region,2022-01-11,16037,40,45,2694,13414
E12000002,North West,region,2022-01-10,21484,43,45,2607,13368
E12000002,North West,region,2022-01-09,20254,50,53,2717,11061
E12000002,North West,region,2022-01-08,18346,44,52,5652,22661
E12000002,North West,region,2022-01-07,24015,48,53,3451,20673
E12000002,North West,region,2022-01-06,25971,50,53,3245,22482
E12000002,North West,region,2022-01-05,19756,38,41,4076,23613
E12000002,North West,region,2022-01-04,29360,36,38,4329,22515
E12000002,North West,region,2022-01-03,24183,24,27,2357,9872
E12000002,North West,region,2022-01-02,19375,21,24,1427,6710
E12000002,North West,region,2022-01-01,27328,30,31,266,1330
E12000002,North West,region,2021-12-31,22977,31,34,1986,12348
E12000002,North West,region,2021-12-30,23952,33,36,4539,33239
E12000002,North West,region,2021-12-29,23842,16,19,4732,37341
E12000002,North West,region,2021-12-28,20183,25,33,2402,21414
E12000002,North West,region,2021-12-27,13973,18,24,1937,16418
E12000002,North West,region,2021-12-26,14272,10,16,136,1018
E12000002,North West,region,2021-12-25,16548,13,17,55,302
E12000002,North West,region,2021-12-24,16529,14,19,989,9399
E12000002,North West,region,2021-12-23,14759,22,24,4100,47795
E12000002,North West,region,2021-12-22,10960,13,20,5242,71717
E12000002,North West,region,2021-12-21,8479,9,13,5839,91787
E12000002,North West,region,2021-12-20,7728,23,25,5584,91783
E12000002,North West,region,2021-12-19,6833,16,20,4321,81851
E12000002,North West,region,2021-12-18,8309,11,12,4998,95774
E12000002,North West,region,2021-12-17,7999,10,15,4699,88847
E12000002,North West,region,2021-12-16,7787,16,18,5029,89471
E12000002,North West,region,2021-12-15,7623,17,21,4637,82972
E12000002,North West,region,2021-12-14,5345,18,23,4094,72528
E12000002,North West,region,2021-12-13,3317,10,13,3328,56098
E12000002,North West,region,2021-12-12,4428,17,23,2810,35997
E12000002,North West,region,2021-12-11,6004,10,16,4182,56255
E12000002,North West,region,2021-12-10,4886,13,18,3899,43584
E12000002,North West,region,2021-12-09,4066,12,20,3986,48355
E12000002,North West,region,2021-12-08,4919,16,26,3435,44353
E12000002,North West,region,2021-12-07,4667,19,24,3027,40131
E12000002,North West,region,2021-12-06,4261,10,18,2886,33771
E12000002,North West,region,2021-12-05,3892,10,15,2343,23881
E12000002,North West,region,2021-12-04,4130,23,27,4029,46780
E12000002,North West,region,2021-12-03,4808,10,17,3636,40685
E12000002,North West,region,2021-12-02,4708,8,12,3797,44731
E12000002,North West,region,2021-12-01,3707,13,19,4297,44271
E12000002,North West,region,2021-11-30,3569,12,14,3721,42165
E12000002,North West,region,2021-11-29,3431,13,22,3126,33413
E12000002,North West,region,2021-11-28,3626,13,22,2121,22438
E12000002,North West,region,2021-11-27,4053,19,24,3915,47092
E12000002,North West,region,2021-11-26,3993,17,20,2676,39306
E12000002,North West,region,2021-11-25,4735,20,27,2940,41360
E12000002,North West,region,2021-11-24,4040,11,13,2577,39447
E12000002,North West,region,2021-11-23,3839,12,18,2567,40811
E12000002,North West,region,2021-11-22,3941,9,12,2042,33691
E12000002,North West,region,2021-11-21,3231,10,13,1372,20180
E12000002,North West,region,2021-11-20,4112,17,22,3216,52620
E12000002,North West,region,2021-11-19,4274,11,16,2523,37677
E12000002,North West,region,2021-11-18,4239,20,22,2325,39628
E12000002,North West,region,2021-11-17,4400,23,28,2500,42253
E12000002,North West,region,2021-11-16,3851,30,34,2204,39775
E12000002,North West,region,2021-11-15,3341,30,37,2028,31223
E12000002,North West,region,2021-11-14,3356,17,19,1297,19165
E12000002,North West,region,2021-11-13,3735,21,25,2882,51179
E12000002,North West,region,2021-11-12,3708,16,18,2582,38234
E12000002,North West,region,2021-11-11,4381,18,24,2791,42717
E12000002,North West,region,2021-11-10,4297,22,30,2935,43807
E12000002,North West,region,2021-11-09,3525,16,22,2547,38593
E12000002,North West,region,2021-11-08,2963,26,28,2268,29534
E12000002,North West,region,2021-11-07,2816,18,19,1354,19857
E12000002,North West,region,2021-11-06,3482,32,38,2553,47086
E12000002,North West,region,2021-11-05,3601,12,19,2415,34788
E12000002,North West,region,2021-11-04,3771,24,29,2416,39973
E12000002,North West,region,2021-11-03,4574,29,32,2290,35759
E12000002,North West,region,2021-11-02,3626,14,15,2143,34578
E12000002,North West,region,2021-11-01,3926,20,24,1875,26031
E12000002,North West,region,2021-10-31,3863,25,30,1105,14011
E12000002,North West,region,2021-10-30,4524,25,29,2701,45681
E12000002,North West,region,2021-10-29,5141,20,20,2383,34169
E12000002,North West,region,2021-10-28,3598,30,34,2571,37012
E12000002,North West,region,2021-10-27,4408,16,19,2501,32500
E12000002,North West,region,2021-10-26,3905,22,25,2319,32684
E12000002,North West,region,2021-10-25,3879,20,23,2020,23942
E12000002,North West,region,2021-10-24,3778,19,23,1533,19486
E12000002,North West,region,2021-10-23,4559,21,23,3460,43704
E12000002,North West,region,2021-10-22,5089,15,24,2775,34633
E12000002,North West,region,2021-10-21,4993,27,32,2805,37009
E12000002,North West,region,2021-10-20,5409,24,32,2472,31438
E12000002,North West,region,2021-10-19,4482,15,17,2382,29238
E12000002,North West,region,2021-10-18,4527,19,24,2354,22135
E12000002,North West,region,2021-10-17,4260,20,22,1679,13192
E12000002,North West,region,2021-10-16,4615,19,26,3347,32880
E12000002,North West,region,2021-10-15,5295,19,24,3642,29179
E12000002,North West,region,2021-10-14,5322,17,22,2804,33035
E12000002,North West,region,2021-10-13,5100,15,19,2862,28632
E12000002,North West,region,2021-10-12,5058,15,18,2655,28108
E12000002,North West,region,2021-10-11,3998,15,20,3449,22422
E12000002,North West,region,2021-10-10,4366,13,16,1919,12101
E12000002,North West,region,2021-10-09,4325,20,25,4429,41169
E12000002,North West,region,2021-10-08,4507,9,11,3368,27059
E12000002,North West,region,2021-10-07,4743,19,23,3234,28992
E12000002,North West,region,2021-10-06,5322,15,19,3140,24882
E12000002,North West,region,2021-10-05,4061,13,17,3065,23172
E12000002,North West,region,2021-10-04,3616,17,20,2793,16988
E12000002,North West,region,2021-10-03,3376,16,20,1662,11406
E12000002,North West,region,2021-10-02,3927,12,16,3795,22958
E12000002,North West,region,2021-10-01,4169,19,20,3382,22329
E12000002,North West,region,2021-09-30,4205,12,17,3615,23590
E12000002,North West,region,2021-09-29,4225,9,14,4091,19683
E12000002,North West,region,2021-09-28,3427,12,13,3989,15898
E12000002,North West,region,2021-09-27,3279,7,9,3561,15705
E12000002,North West,region,2021-09-26,3552,8,12,2723,8309
E12000002,North West,region,2021-09-25,3622,16,19,4718,20600
E12000002,North West,region,2021-09-24,3965,13,15,4963,14264
E12000002,North West,region,2021-09-23,4444,23,25,4668,4691
E12000002,North West,region,2021-09-22,4081,14,20,4555,4349
E12000002,North West,region,2021-09-21,3519,13,16,4631,2779
E12000002,North West,region,2021-09-20,3702,14,16,4850,623
E12000002,North West,region,2021-09-19,3138,16,19,2812,283
E12000002,North West,region,2021-09-18,3712,18,21,7539,981
E12000002,North West,region,2021-09-17,3877,21,28,5873,1285
E12000002,North West,region,2021-09-16,3368,20,26,6486,119
E12000002,North West,region,2021-09-15,3222,20,25,5641,71
E12000002,North West,region,2021-09-14,3119,20,25,6633,204
E12000002,North West,region,2021-09-13,3361,14,17,6277,144
E12000002,North West,region,2021-09-12,2985,15,20,3722,4
E12000002,North West,region,2021-09-11,3411,21,24,8742,8
E12000002,North West,region,2021-09-10,3855,17,23,9497,6
E12000002,North West,region,2021-09-09,3951,21,28,10130,11
E12000002,North West,region,2021-09-08,4129,20,24,8179,8
E12000002,North West,region,2021-09-07,4505,23,27,8631,6
E12000002,North West,region,2021-09-06,3459,15,18,8286,5
E12000002,North West,region,2021-09-05,3462,21,22,4114,3
E12000002,North West,region,2021-09-04,4102,15,17,12285,4
E12000002,North West,region,2021-09-03,4477,16,18,10492,7
E12000002,North West,region,2021-09-02,3915,14,17,10212,13
E12000002,North West,region,2021-09-01,3309,11,13,9938,8
E12000002,North West,region,2021-08-31,3186,14,18,10584,8
E12000002,North West,region,2021-08-30,2606,11,13,4713,1
E12000002,North West,region,2021-08-29,3100,15,15,5006,1
E12000002,North West,region,2021-08-28,3444,13,18,13148,8
E12000002,North West,region,2021-08-27,3505,17,20,10661,7
E12000002,North West,region,2021-08-26,3898,15,20,13374,8
E12000002,North West,region,2021-08-25,3337,12,13,13504,4
E12000002,North West,region,2021-08-24,3275,20,27,13762,12
E12000002,North West,region,2021-08-23,3039,18,19,13048,7
E12000002,North West,region,2021-08-22,2982,9,12,8972,6
E12000002,North West,region,2021-08-21,3108,16,21,17672,15
E12000002,North West,region,2021-08-20,3302,17,20,17917,8
E12000002,North West,region,2021-08-19,3577,14,19,19089,5
E12000002,North West,region,2021-08-18,3275,8,12,15553,9
E12000002,North West,region,2021-08-17,2916,10,13,12402,14
E12000002,North West,region,2021-08-16,3228,12,15,12889,10
E12000002,North West,region,2021-08-15,2616,10,13,8287,2
E12000002,North West,region,2021-08-14,3593,12,15,19729,8
E12000002,North West,region,2021-08-13,3621,12,14,15626,10
E12000002,North West,region,2021-08-12,3539,15,17,18745,8
E12000002,North West,region,2021-08-11,3189,18,20,15702,9
E12000002,North West,region,2021-08-10,2877,15,17,13647,5
E12000002,North West,region,2021-08-09,2877,15,20,11597,11
E12000002,North West,region,2021-08-08,3037,13,19,8333,8
E12000002,North West,region,2021-08-07,3043,15,18,18860,7
E12000002,North West,region,2021-08-06,3456,12,12,17165,17
E12000002,North West,region,2021-08-05,3608,18,20,18886,8
E12000002,North West,region,2021-08-04,3195,13,17,18168,5
E12000002,North West,region,2021-08-03,2265,10,12,13732,6
E12000002,North West,region,2021-08-02,2451,14,17,11575,4
E12000002,North West,region,2021-08-01,2939,15,16,9462,5
E12000002,North West,region,2021-07-31,3311,10,14,22271,11
E12000002,North West,region,2021-07-30,3373,25,26,17818,12
E12000002,North West,region,2021-07-29,3588,15,22,16487,13
E12000002,North West,region,2021-07-28,2999,12,12,13422,5
E12000002,North West,region,2021-07-27,2683,17,17,17674,13
E12000002,North West,region,2021-07-26,3281,17,19,13080,5
E12000002,North West,region,2021-07-25,3464,13,16,8302,3
E12000002,North West,region,2021-07-24,3615,9,9,18897,13
E12000002,North West,region,2021-07-23,4172,15,16,17276,5
E12000002,North West,region,2021-07-22,5600,22,29,19021,9
E12000002,North West,region,2021-07-21,5322,8,10,15008,7
E12000002,North West,region,2021-07-20,5058,12,13,16060,14
E12000002,North West,region,2021-07-19,5176,14,16,13902,4
E12000002,North West,region,2021-07-18,6962,16,19,12159,6
E12000002,North West,region,2021-07-17,7424,9,10,26364,9
E12000002,North West,region,2021-07-16,7256,18,19,22953,13
E12000002,North West,region,2021-07-15,6212,15,16,19725,16
E12000002,North West,region,2021-07-14,6203,9,12,18599,11
E12000002,North West,region,2021-07-13,4931,14,17,19649,11
E12000002,North West,region,2021-07-12,4769,10,11,11750,5
E12000002,North West,region,2021-07-11,4231,11,13,8851,7
E12000002,North West,region,2021-07-10,4758,12,13,21800,14
E12000002,North West,region,2021-07-09,6487,11,12,19248,13
E12000002,North West,region,2021-07-08,5203,10,13,21238,9
E12000002,North West,region,2021-07-07,4950,8,10,15988,11
