areaCode,areaName,areaType,date,newCasesBySpecimenDate,newDeaths28DaysByDeathDate,newDeaths60DaysByDeathDate,newPeopleVaccinatedSecondDoseByVaccinationDate,newPeopleVaccinatedThirdInjectionByVaccinationDate
E12000002,North West,region,2022-02-23,1468,2,3,1861,2675
E12000002,North West,region,2022-02-22,2441,5,18,1929,2782
E12000002,North West,region,2022-02-21,2909,1,18,1617,2073
E12000002,North West,region,2022-02-20,2555,10,24,838,1313
E12000002,North West,region,2022-02-19,2207,3,20,1994,2885
E12000002,North West,region,2022-02-18,2442,12,29,1631,2496
E12000002,North West,region,2022-02-17,2927,20,30,2241,2829
E12000002,North West,region,2022-02-16,3492,22,31,2198,3351
E12000002,North West,region,2022-02-15,3668,21,41,2788,3603
E12000002,North West,region,2022-02-14,3869,13,33,1970,2580
E12000002,North West,region,2022-02-13,2927,16,38,1163,2041
E12000002,North West,region,2022-02-12,2539,14,34,2997,4560
E12000002,North West,region,2022-02-11,3083,18,33,2839,4378
E12000002,North West,region,2022-02-10,3749,15,30,3386,3045
E12000002,North West,region,2022-02-09,4483,22,37,3127,3277
E12000002,North West,region,2022-02-08,5051,19,33,3041,3142
E12000002,North West,region,2022-02-07,5775,22,36,2755,2643
E12000002,North West,region,2022-02-06,4544,26,44,1267,1997
E12000002,North West,region,2022-02-05,3847,32,52,3081,3708
E12000002,North West,region,2022-02-04,4730,17,33,3292,3736
E12000002,North West,region,2022-02-03,5897,37,55,3618,3842
E12000002,North West,region,2022-02-02,6857,26,37,3620,3750
E12000002,North West,region,2022-02-01,7272,42,57,2988,3816
E12000002,North West,region,2022-01-31,8450,28,40,3128,3672
E12000002,North West,region,2022-01-30,7203,36,49,2106,2745
E12000002,North West,region,2022-01-29,5816,50,61,3955,5578
E12000002,North West,region,2022-01-28,6891,35,50,4076,5495
E12000002,North West,region,2022-01-27,8176,46,56,3576,5189
E12000002,North West,region,2022-01-26,9190,35,37,3755,5153
E12000002,North West,region,2022-01-25,9915,32,36,3491,5580
E12000002,North West,region,2022-01-24,11416,48,51,3104,5004
E12000002,North West,region,2022-01-23,9260,35,45,2208,3056
E12000002,North West,region,2022-01-22,7314,45,51,3968,6914
E12000002,North West,region,2022-01-21,8462,52,56,3622,5970
E12000002,North West,region,2022-01-20,9662,35,36,3215,5476
E12000002,North West,region,2022-01-19,11447,38,40,3371,6162
E12000002,North West,region,2022-01-18,12326,54,61,2957,6538
E12000002,North West,region,2022-01-17,14148,42,46,2711,6197
E12000002,North West,region,2022-01-16,10670,44,50,2284,4930
E12000002,North West,region,2022-01-15,8350,53,57,4475,9396
E12000002,North West,region,2022-01-14,9571,52,57,3410,9824
E12000002,North West,region,2022-01-13,11317,41,43,2937,10105
E12000002,North West,region,2022-01-12,12368,42,48,3101,10591
E12000002,North West,region,2022-01-11,14206,41,46,2698,13444
E12000002,North West,region,2022-01-10,17288,43,45,2635,13429
E12000002,North West,region,2022-01-09,12334,50,53,2721,11079
E12000002,North West,region,2022-01-08,12278,44,52,5664,22702
E12000002,North West,region,2022-01-07,16146,47,52,3470,20686
E12000002,North West,region,2022-01-06,24024,51,54,3239,22493
E12000002,North West,region,2022-01-05,31673,38,41,4071,23631
