areaCode,areaName,areaType,date,newReinfectionsBySpecimenDate
E12000002,North West,region,2022-02-23,188
E12000002,North West,region,2022-02-22,279
E12000002,North West,region,2022-02-21,366
E12000002,North West,region,2022-02-20,303
E12000002,North West,region,2022-02-19,235
E12000002,North West,region,2022-02-18,267
E12000002,North West,region,2022-02-17,341
E12000002,North West,region,2022-02-16,422
E12000002,North West,region,2022-02-15,490
E12000002,North West,region,2022-02-14,446
E12000002,North West,region,2022-02-13,332
E12000002,North West,region,2022-02-12,286
E12000002,North West,region,2022-02-11,381
E12000002,North West,region,2022-02-10,472
E12000002,North West,region,2022-02-09,604
E12000002,North West,region,2022-02-08,634
E12000002,North West,region,2022-02-07,733
E12000002,North West,region,2022-02-06,595
E12000002,North West,region,2022-02-05,457
E12000002,North West,region,2022-02-04,552
E12000002,North West,region,2022-02-03,738
E12000002,North West,region,2022-02-02,887
E12000002,North West,region,2022-02-01,916
E12000002,North West,region,2022-01-31,1114
E12000002,North West,region,2022-01-30,928
E12000002,North West,region,2022-01-29,661
E12000002,North West,region,2022-01-28,825
E12000002,North West,region,2022-01-27,975
E12000002,North West,region,2022-01-26,1169
E12000002,North West,region,2022-01-25,1266
E12000002,North West,region,2022-01-24,1413
E12000002,North West,region,2022-01-23,1084
E12000002,North West,region,2022-01-22,808
E12000002,North West,region,2022-01-21,1000
E12000002,North West,region,2022-01-20,1111
E12000002,North West,region,2022-01-19,1314
E12000002,North West,region,2022-01-18,1407
E12000002,North West,region,2022-01-17,1715
E12000002,North West,region,2022-01-16,1223
E12000002,North West,region,2022-01-15,910
E12000002,North West,region,2022-01-14,1014
E12000002,North West,region,2022-01-13,1353
E12000002,North West,region,2022-01-12,1481
E12000002,North West,region,2022-01-11,1643
E12000002,North West,region,2022-01-10,1997
E12000002,North West,region,2022-01-09,1452
E12000002,North West,region,2022-01-08,1357
E12000002,North West,region,2022-01-07,1945
E12000002,North West,region,2022-01-06,2996
E12000002,North West,region,2022-01-05,3919
E12000002,North West,region,2022-01-04,5192
E12000002,North West,region,2022-01-03,4292
E12000002,North West,region,2022-01-02,3222
E12000002,North West,region,2022-01-01,1983
E12000002,North West,region,2021-12-31,3129
E12000002,North West,region,2021-12-30,3960
E12000002,North West,region,2021-12-29,4407
E12000002,North West,region,2021-12-28,3331
E12000002,North West,region,2021-12-27,2821
E12000002,North West,region,2021-12-26,1615
E12000002,North West,region,2021-12-25,898
E12000002,North West,region,2021-12-24,1940
E12000002,North West,region,2021-12-23,2401
E12000002,North West,region,2021-12-22,2397
E12000002,North West,region,2021-12-21,2020
E12000002,North West,region,2021-12-20,1588
