areaCode,areaName,areaType,date,cumCasesByPublishDate,newCasesByPublishDate,newDeaths28DaysByDeathDate,newPeopleVaccinatedCompleteByVaccinationDate
E10000017,Lancashire,utla,31/10/2021,196788,624,,
E10000017,Lancashire,utla,30/10/2021,,869,0,506
E10000017,Lancashire,utla,29/10/2021,,896,1,257
E10000017,Lancashire,utla,28/10/2021,,676,1,409
E10000017,Lancashire,utla,27/10/2021,,805,2,344
E10000017,Lancashire,utla,26/10/2021,,768,2,336
E10000017,Lancashire,utla,25/10/2021,,721,2,271
E10000017,Lancashire,utla,24/10/2021,,720,4,232
E10000017,Lancashire,utla,23/10/2021,,828,2,656
E10000017,Lancashire,utla,22/10/2021,,863,2,423
E10000017,Lancashire,utla,21/10/2021,,957,6,432
E10000017,Lancashire,utla,20/10/2021,,941,9,342
E10000017,Lancashire,utla,19/10/2021,,841,0,305
E10000017,Lancashire,utla,18/10/2021,,790,2,319
E10000017,Lancashire,utla,17/10/2021,,825,3,248
E10000017,Lancashire,utla,16/10/2021,,782,3,545
E10000017,Lancashire,utla,15/10/2021,,899,4,464
E10000017,Lancashire,utla,14/10/2021,,986,0,445
E10000017,Lancashire,utla,13/10/2021,,977,1,417
E10000017,Lancashire,utla,12/10/2021,,797,3,348
E10000017,Lancashire,utla,11/10/2021,,671,1,407
E10000017,Lancashire,utla,10/10/2021,,724,3,310
E10000017,Lancashire,utla,09/10/2021,,680,3,728
E10000017,Lancashire,utla,08/10/2021,,771,3,541
E10000017,Lancashire,utla,07/10/2021,,660,2,537
E10000017,Lancashire,utla,06/10/2021,,895,3,482
E10000017,Lancashire,utla,05/10/2021,,568,4,383
E10000017,Lancashire,utla,04/10/2021,,635,1,437
E10000017,Lancashire,utla,03/10/2021,,526,2,267
E10000017,Lancashire,utla,02/10/2021,,626,3,514
E10000017,Lancashire,utla,01/10/2021,,719,1,524
E10000017,Lancashire,utla,30/09/2021,,672,1,527
E10000017,Lancashire,utla,29/09/2021,,716,2,639
E10000017,Lancashire,utla,28/09/2021,,570,2,478
E10000017,Lancashire,utla,27/09/2021,,531,1,496
E10000017,Lancashire,utla,26/09/2021,,543,3,346
E10000017,Lancashire,utla,25/09/2021,,660,4,731
E10000017,Lancashire,utla,24/09/2021,,661,0,585
E10000017,Lancashire,utla,23/09/2021,,806,4,758
E10000017,Lancashire,utla,22/09/2021,,669,3,661
E10000017,Lancashire,utla,21/09/2021,,678,4,488
E10000017,Lancashire,utla,20/09/2021,,704,1,590
E10000017,Lancashire,utla,19/09/2021,,549,2,363
E10000017,Lancashire,utla,18/09/2021,,707,4,1084
E10000017,Lancashire,utla,17/09/2021,,742,2,929
E10000017,Lancashire,utla,16/09/2021,,683,3,971
E10000017,Lancashire,utla,15/09/2021,,545,5,742
E10000017,Lancashire,utla,14/09/2021,,545,1,741
E10000017,Lancashire,utla,13/09/2021,,645,1,735
E10000017,Lancashire,utla,12/09/2021,,505,5,487
E10000017,Lancashire,utla,11/09/2021,,544,3,1396
E10000017,Lancashire,utla,10/09/2021,,676,5,1298
E10000017,Lancashire,utla,09/09/2021,,631,5,1358
E10000017,Lancashire,utla,08/09/2021,,619,2,1244
E10000017,Lancashire,utla,07/09/2021,,761,5,960
E10000017,Lancashire,utla,06/09/2021,,543,1,969
E10000017,Lancashire,utla,05/09/2021,,545,5,589
E10000017,Lancashire,utla,04/09/2021,,614,2,1765
E10000017,Lancashire,utla,03/09/2021,,675,1,1328
E10000017,Lancashire,utla,02/09/2021,,635,2,1225
E10000017,Lancashire,utla,01/09/2021,,522,3,1526
E10000017,Lancashire,utla,31/08/2021,,505,3,1558
E10000017,Lancashire,utla,30/08/2021,,366,1,489
E10000017,Lancashire,utla,29/08/2021,,493,0,680
E10000017,Lancashire,utla,28/08/2021,,545,3,1949
E10000017,Lancashire,utla,27/08/2021,,564,7,1797
E10000017,Lancashire,utla,26/08/2021,,594,4,1768
E10000017,Lancashire,utla,25/08/2021,,511,0,2192
E10000017,Lancashire,utla,24/08/2021,,514,4,1639
E10000017,Lancashire,utla,23/08/2021,,426,2,1692
E10000017,Lancashire,utla,22/08/2021,,498,1,1125
E10000017,Lancashire,utla,21/08/2021,,526,1,2915
E10000017,Lancashire,utla,20/08/2021,,489,4,2713
E10000017,Lancashire,utla,19/08/2021,,595,1,2918
E10000017,Lancashire,utla,18/08/2021,,494,0,2422
E10000017,Lancashire,utla,17/08/2021,,502,2,1857
E10000017,Lancashire,utla,16/08/2021,,480,2,1937
E10000017,Lancashire,utla,15/08/2021,,429,2,1192
E10000017,Lancashire,utla,14/08/2021,,472,3,3630
E10000017,Lancashire,utla,13/08/2021,,583,1,2374
E10000017,Lancashire,utla,12/08/2021,,564,2,3162
E10000017,Lancashire,utla,11/08/2021,,467,2,2749
E10000017,Lancashire,utla,10/08/2021,,428,3,1379
E10000017,Lancashire,utla,09/08/2021,,517,3,1855
E10000017,Lancashire,utla,08/08/2021,,491,3,1080
E10000017,Lancashire,utla,07/08/2021,,479,1,3527
E10000017,Lancashire,utla,06/08/2021,,462,3,2360
E10000017,Lancashire,utla,05/08/2021,,545,5,2638
E10000017,Lancashire,utla,04/08/2021,,433,3,2680
E10000017,Lancashire,utla,03/08/2021,,341,0,1506
E10000017,Lancashire,utla,02/08/2021,,363,2,1282
E10000017,Lancashire,utla,01/08/2021,,464,1,957
E10000017,Lancashire,utla,31/07/2021,,477,4,3160
E10000017,Lancashire,utla,30/07/2021,,516,4,2213
E10000017,Lancashire,utla,29/07/2021,,575,0,2257
E10000017,Lancashire,utla,28/07/2021,,437,1,2635
E10000017,Lancashire,utla,27/07/2021,,423,3,1599
E10000017,Lancashire,utla,26/07/2021,,570,1,1823
E10000017,Lancashire,utla,25/07/2021,,537,3,1565
E10000017,Lancashire,utla,24/07/2021,,581,1,3616
E10000017,Lancashire,utla,23/07/2021,,696,4,2770
E10000017,Lancashire,utla,22/07/2021,,1056,3,3063
E10000017,Lancashire,utla,21/07/2021,,873,2,2803
E10000017,Lancashire,utla,20/07/2021,,906,4,1572
E10000017,Lancashire,utla,19/07/2021,,922,2,1610
E10000017,Lancashire,utla,18/07/2021,,1184,2,1924
E10000017,Lancashire,utla,17/07/2021,,1228,3,4217
E10000017,Lancashire,utla,16/07/2021,,1214,4,2972
E10000017,Lancashire,utla,15/07/2021,,976,3,2895
E10000017,Lancashire,utla,14/07/2021,,1064,2,2685
E10000017,Lancashire,utla,13/07/2021,,797,3,2308
E10000017,Lancashire,utla,12/07/2021,,687,3,998
E10000017,Lancashire,utla,11/07/2021,,666,3,999
E10000017,Lancashire,utla,10/07/2021,,744,2,3438
